NodeCount,GraphType,DatasetCount,F1_Shifted_Nodes,F1_Function_Shift_Combined,F1_Noise_Shift_Combined,Macro_F1_Combined,F1_Function_Shift_True_Pop,F1_Noise_Shift_True_Pop,Macro_F1_True_Pop
10,ER,30,0.582,0.467,0.111,0.289,0.467,0.211,0.339
10,SF,30,0.559,0.422,0.271,0.347,0.422,0.389,0.406
20,ER,30,0.739,0.394,0.181,0.288,0.394,0.336,0.365
20,SF,30,0.745,0.308,0.209,0.258,0.308,0.329,0.318
30,ER,30,0.742,0.387,0.169,0.278,0.387,0.377,0.382
30,SF,30,0.718,0.309,0.147,0.228,0.309,0.337,0.323
40,ER,30,0.705,0.386,0.107,0.246,0.386,0.311,0.349
40,SF,30,0.759,0.342,0.189,0.266,0.342,0.386,0.364
50,ER,30,0.654,0.373,0.131,0.252,0.373,0.399,0.386
50,SF,30,0.667,0.371,0.133,0.252,0.371,0.372,0.372
